Body,Sentiment,Date,Rating,Clean_Body,Tema_Dominante
Exelente,positive,30/09/2023,5,exelent,0
"La peor aplicación de Banca que he usado, te da demasiadas complicaciones para hacer compras el línea",negative,30/09/2023,1,peor aplic banc usad da demasi complic hac compr line,3
Bueno,positive,30/09/2023,5,buen,4
malisima,negative,30/09/2023,1,malisim,3
"Odio ésta app solo sirve para transferencias pero si quieres activar cualquier otra cosa tienes que ir al ""banco"" que no es un banco, entonces qué sentido tiene tener la aplicación? Si tuviera tiempo de estar yendo al banco, NO LA USARIA.",negative,30/09/2023,1,odi esta app sol sirv transferent si quier activ cualqui cos ir banc banc entonc ten aplic si tiemp yend banc usari,0
Me pidio actualizar la app y yano se pudo. Intento instalar nuevamente pero me dice q intente mas tarde.,negative,30/09/2023,2,pidi actualiz app yan pud intent instal nuev dic q intent mas tard,2
Exelente aplicacion,positive,30/09/2023,5,exelent aplicacion,0
"Al principio todo bien, ahora estoy fuera del país y de la nada me pide acudir a sucursal para poder hacer uso de la banca móvil reteniendome así el dinero que tengo en la cuenta, sumamente molesto!",negative,30/09/2023,1,principi bien ahor pais pid acud sucursal pod hac uso banc movil reten asi diner cuent sum molest,0
Pesima aplicación es muy lenta y me saca de la app sin ningún motivo ?????? y de ahí nuevamente tengo que esperar media hora o asta el dia sigues para poder entrar??????????????????,negative,30/09/2023,1,pesim aplic lent sac app ningun motiv ahi nuev esper medi hor asta dia sig pod entrar,2
No puedo abrir la aplicación,negative,30/09/2023,1,pued abrir aplic,2
super,positive,30/09/2023,5,sup,3
Buena,positive,30/09/2023,5,buen,4
Excelente servicio. Atencion de excelencia en cajas y rapides,positive,30/09/2023,5,excelent servici atencion excelent caj rapid,1
"Falla, las versiones anteriores mejores",negative,30/09/2023,2,fall version anterior mejor,0
"Pesimaaa app!! Se bloqueo y no me deja entrar, y en los bancos no te dan solucion no recomiendo esta aplicación",negative,30/09/2023,1,pesimaa app bloque dej entrar banc dan solucion recom aplic,0
Bien Ok,positive,30/09/2023,5,bien ok,4
No me da la información que ocupo y no puedo descargar mis estados de cuenta,negative,30/09/2023,1,da inform ocup pued descarg cuent,2
Ya no sirve la app... Que me información no corresponde y marca error. Cuando ya se reviso a detalle.,negative,30/09/2023,1,sirv app inform correspond marc error revis detall,4
"Pésima aplicación cada vez que quiero hacer un pago en línea, me retiene el saldo por un mes .",negative,30/09/2023,1,pesim aplic cad vez quier hac pag line retien sald mes,2
"No sé, qué paso con esta App al principio funcionaba bien y ahora es un asco me pide que vaya al banco a actualizar mis datos cosa que ya hice y no me deja hacer mis pagos nada, asco un asco de App",negative,30/09/2023,1,se pas app principi funcion bien ahor asco pid vay banc actualiz dat cos hic dej hac pag asco asco app,3
No la puedo abrir,negative,30/09/2023,1,pued abrir,2
Muy bien gracias,positive,30/09/2023,5,bien graci,1
Muy buena.,positive,30/09/2023,5,buen,4
Me manda a la sucursal para firmar y no hay tiempo para ir que app más espantosa,negative,30/09/2023,1,mand sucursal firm tiemp ir app espant,2
Buena,positive,30/09/2023,5,buen,4
Buena ap,positive,30/09/2023,3,buen ap,4
No sirve estuve mucho tiempo mandando remesas y luego me salen con que la tarjeta no recibe lana... qué tengo que ir para sacar otra tarjeta... seguramente voy a ir hasta México nada más a eso,negative,30/09/2023,1,sirv tiemp mand remes lueg sal tarjet recib lan ir sac tarjet segur voy ir mexic,2
Cambié de teléfono y de a fuerzas tengo que ir a BanCoppel a activar la app ???? como por?,negative,30/09/2023,1,cambi telefon fuerz ir bancoppel activ app,3
