Rating,Date,Body,Sentiment
5,2023-09-30,Exelente,positive
1,2023-09-30,"La peor aplicación de Banca que he usado, te da demasiadas complicaciones para hacer compras el línea",negative
5,2023-09-30,Bueno,positive
1,2023-09-30,malisima,negative
1,2023-09-30,"Odio ésta app solo sirve para transferencias pero si quieres activar cualquier otra cosa tienes que ir al ""banco"" que no es un banco, entonces qué sentido tiene tener la aplicación? Si tuviera tiempo de estar yendo al banco, NO LA USARIA.",negative
2,2023-09-30,Me pidio actualizar la app y yano se pudo. Intento instalar nuevamente pero me dice q intente mas tarde.,negative
5,2023-09-30,Exelente aplicacion,positive
1,2023-09-30,"Al principio todo bien, ahora estoy fuera del país y de la nada me pide acudir a sucursal para poder hacer uso de la banca móvil reteniendome así el dinero que tengo en la cuenta, sumamente molesto!",negative
1,2023-09-30,Pesima aplicación es muy lenta y me saca de la app sin ningún motivo ?????? y de ahí nuevamente tengo que esperar media hora o asta el dia sigues para poder entrar??????????????????,negative
1,2023-09-30,No puedo abrir la aplicación,negative
5,2023-09-30,super,positive
5,2023-09-30,Buena,positive
5,2023-09-30,Excelente servicio. Atencion de excelencia en cajas y rapides,positive
2,2023-09-30,"Falla, las versiones anteriores mejores",negative
1,2023-09-30,"Pesimaaa app!! Se bloqueo y no me deja entrar, y en los bancos no te dan solucion no recomiendo esta aplicación",negative
5,2023-09-30,Bien Ok,positive
1,2023-09-30,No me da la información que ocupo y no puedo descargar mis estados de cuenta,negative
1,2023-09-30,Ya no sirve la app... Que me información no corresponde y marca error. Cuando ya se reviso a detalle.,negative
1,2023-09-30,"Pésima aplicación cada vez que quiero hacer un pago en línea, me retiene el saldo por un mes .",negative
1,2023-09-30,"No sé, qué paso con esta App al principio funcionaba bien y ahora es un asco me pide que vaya al banco a actualizar mis datos cosa que ya hice y no me deja hacer mis pagos nada, asco un asco de App",negative
1,2023-09-30,No la puedo abrir,negative
5,2023-09-30,Muy bien gracias,positive
5,2023-09-30,Muy buena.,positive
1,2023-09-30,Me manda a la sucursal para firmar y no hay tiempo para ir que app más espantosa,negative
5,2023-09-30,Buena,positive
3,2023-09-30,Buena ap,positive
1,2023-09-30,No sirve estuve mucho tiempo mandando remesas y luego me salen con que la tarjeta no recibe lana... qué tengo que ir para sacar otra tarjeta... seguramente voy a ir hasta México nada más a eso,negative
1,2023-09-30,Cambié de teléfono y de a fuerzas tengo que ir a BanCoppel a activar la app ???? como por?,negative
1,2023-09-30,"Muy buena y todo Pero debe arreglar el acceso a la entrada literal siempre me dice ""algo sucedió mal ' y ya llevo días así y nunca lo arreglan....",negative
5,2023-09-30,Me gusta porque así es más fácil y práctico.,positive
1,2023-09-29,Con la actualización no deja entrar me sale la notificación que no encuentra mi ubicación GPS porquería de app,negative
2,2023-09-29,No funciona al 100,negative
1,2023-09-29,"Falla mucho, no me deja entrar a la app",negative
5,2023-09-29,Es una herramienta útil y fácil para cerrar y seguro con todo los procesos...,positive
1,2023-09-29,"La app empezo siendo buena pero ahora me dice que cambie de numero de celular cuando que no es asi tengo el mismo número registrado desde hace tiempo y ahora me dice desde hace una semana qur mis datos no coinciden y que vaya una sucursal y en dicha sucursal me dicen que ellos no pueden checar nada referente a la app que mal que pase todo esto por que entorpecen el dia a dia de nosotros que por medio de esta banca pagamos muchas cosas, ojala resuelvan esto pronto",negative
1,2023-09-29,No sirve,negative
3,2023-09-29,Exelente servicio y se adapta a uno,positive
5,2023-09-29,Buena,positive
1,2023-09-29,NOMAS LEDOY ESA XQ NOSIRVE NOKIERE ABRIR LA PUERCA APLICACIÓN YANOMAS Q YO PUEDA IR AUNA SUCURSAL LAVOY ADAR DEVAJA NOLA NECESITO SINOKIERE ABRIR NOMEINPORTA Y POES LAVERDAD NOMEINPORTA PERDER LOQ TENGO AHI DE DINERO YANOMEINPORTAQ SEPIERDA PERO LAVOY ADAR DEVAJA ASI BLOKIADA NOMESIRVE PARA NADA,negative
5,2023-09-29,Bueno,positive
5,2023-09-29,Buen servicio y sobre todo pagos cómodos desde la comodidad de tu hogar,positive
1,2023-09-29,Este tipo de app no debería de existir no se puede entrar estaba mejor la otra app deberían mejorar la app este tipo de app estresa porque note da opción para entrar,negative
1,2023-09-29,Tengo problemas con mi aplicacion desde ayer no me deja entrar segun no puede actualizar mi ubicacion o coneccion de internet pero tengo otra aplicaciones de bancos y trabajan sin problemas,negative
5,2023-09-29,Excelente servicio,positive
1,2023-09-29,Ni siquiera te da acceso.,negative
5,2023-09-29,Exelente,positive
2,2023-09-29,Lo más mediocre que he usado sin duda,neutral
5,2023-09-29,Esmuy Rápido todo yaorro mastienpo enmis transasiones,positive
1,2023-09-29,"Se tarda un chingo en cargar la app y abrir la actualice pensando en que era por eso y ahora se tarda el doble en abrir, va de mal en peor",negative
1,2023-09-29,Porquería de aplicación!!!!,negative
5,2023-09-29,Muy bueno,positive
1,2023-09-29,Una porquería de aplicacion,negative
1,2023-09-29,Se batalla mucho con la aplicacion,negative
5,2023-09-29,Exelente,positive
1,2023-09-29,"Una basura desde la última actualización, me pide un montón de datos que ya hasta se me olvidaron pero la rata bien que se pudo robar $400??",negative
1,2023-09-29,No me deja ingresar y necesito hacer mis pagos.,negative
2,2023-09-29,Es pésima la aplicación tarda muchísimo tiempo en abrir para hacer cualquier movimiento es tiempo perdido cuando se requiere entrar y últimamente falla mucho su sistema deberían actualizar y resolver ese problema de lo demás es buena aplicación,negative
5,2023-09-28,Excelente,positive
1,2023-09-28,"Porqueria de App no sirve en los dispositivos y acaba rato se cae, es la peor Apple de banco que existe que pésimo mantenimiento por parte de la empresa -5 estrellas",negative
3,2023-09-28,"Falla constantemente, no permite transferir",negative
1,2023-09-28,"Quiero sacar el dinero que tengo en ""Apartados"" y no aparece ni si quiera la opción de consultar los apartados que tengo",negative
3,2023-09-28,Faltan mejoras pero cumple con su función,positive
2,2023-09-28,"Muy mal ahora,antes era sencillo utilizarla pero cada actualización solo la entorpecen, tengo que ir a dos horas de mi casa a qué me activen la app, por seguridad mía active mi app en el teléfono de mi esposo y ahora ya no puedo hacer nada que fastidio de verdad",negative
1,2023-09-28,"Le daría menos, osea tengo que reinstalar mi app por cambio de equipo no tengo tiempo para ir a la sucursal, me gustaba esta app por que era rápida y ahora haces todo más pesado, seguro mañana cambio de banco",negative
1,2023-09-28,Buena app pero tarda mucho en abrir la aplicación ya debieron hacer algo con eso.,negative
1,2023-09-28,"Acabo de reinstalar mi app, y ahora resulta que tengo que ir a sucursal, en vez de hacer procesos más rápidos y eficaces lo haces más tedioso, no tengo cerca una sucursal y ahora tendré que manejar una hora, cuando antes solo ponía mis datos y listo podía hacer mis operaciones",negative
1,2023-09-28,"Desde la actualización, tarda cargando",negative
5,2023-09-28,Excelente,positive
5,2023-09-28,Más segura rapidez y una tienda coppel más serca,positive
1,2023-09-28,"Pésima app siempre falla y te bloquea la banca en línea, en pocas palabras sirve cuando le da la gana",negative
1,2023-09-28,Siempre me sale error 000014,negative
5,2023-09-28,De maravilla,positive
5,2023-09-28,Ama de casa,positive
1,2023-09-28,Muy mala aplicación,negative
1,2023-09-28,Siempre falla,negative
1,2023-09-28,No sirve no me deja entrar la app,negative
5,2023-09-28,Super,positive
