,customer_id,age,gender,balance,num_of_products,credit_score,tenure,active_member,estimated_salary,has_cr_card,is_primary_account,churn
0,0,69,Female,37136.301898006895,3,805,1,0,86361.84137220246,1,1,0
1,1,32,Other,94448.47750934496,2,681,0,1,34621.41846353351,1,0,0
2,2,89,Other,70544.88677063369,4,724,4,1,38764.01039196249,1,1,1
3,3,78,Female,75420.10919924449,1,735,26,0,109830.45161928036,0,1,0
4,4,38,Female,24242.20950060739,1,621,26,1,62368.09277866349,1,0,0
5,5,41,Other,16858.200349761944,2,549,23,0,70922.67111059299,1,0,0
6,6,20,Male,39434.0793094323,1,479,29,1,22184.203985083408,0,0,1
7,7,39,Other,76667.24853361539,3,328,2,1,53403.13798909146,0,0,0
8,8,70,Other,93879.59097528576,2,795,6,1,107573.96364693392,1,0,0
9,9,19,Female,42732.98259740078,2,625,5,1,109016.61011983971,0,1,0
10,10,47,Other,77415.6792497166,1,486,26,0,90316.79586027654,1,1,0
11,11,55,Male,47040.761946680956,2,354,28,1,70020.14416716635,1,0,0
12,12,19,Female,29522.824955546377,4,813,29,0,112390.4464722555,0,1,0
13,13,81,Other,73926.51507258476,3,709,0,1,105902.50985044465,1,1,0
14,14,77,Other,79820.21339813272,2,316,27,0,103098.63241510061,0,0,0
15,15,38,Male,20284.079408068024,4,387,22,0,106998.79799462314,1,1,1
16,16,50,Other,30516.950204533066,1,522,18,0,59856.22258738419,0,1,0
17,17,75,Other,49477.68434736622,2,357,29,1,67803.89447943866,0,1,0
18,18,39,Other,18652.18297668767,4,529,19,0,56641.3861382116,0,0,0
19,19,66,Other,92883.42987537925,1,453,13,0,91407.372182075,0,0,0
20,20,76,Male,59133.39125607484,4,572,9,1,75111.98440311974,0,1,0
21,21,59,Other,12120.327737169267,1,345,1,0,17666.76074111676,0,0,1
22,22,77,Other,18402.986468246207,3,751,10,1,25026.023587932264,1,1,1
23,23,32,Other,95435.53453248444,2,605,15,0,31155.688880679954,0,1,0
24,24,79,Female,73816.85856966182,3,726,16,0,83760.9220043671,1,0,0
25,25,79,Male,73440.50845049862,3,417,4,0,22078.56197909623,0,0,0
26,26,64,Female,7249.859400505454,2,550,21,1,69490.17169096803,0,0,0
27,27,79,Female,89529.8837708947,3,702,26,0,102491.8474472596,0,1,0
28,28,68,Male,44373.536255860454,3,499,17,0,114226.5975694618,1,0,0
29,29,72,Female,65971.73226399263,4,445,15,1,57105.537332297026,0,1,0
30,30,81,Female,95968.9219114014,1,350,9,1,68677.25329076823,1,0,0
31,31,20,Female,10001.238035655691,3,667,5,1,101468.08365017395,1,0,0
32,32,68,Male,48227.64594865787,2,619,21,1,112931.5967675747,0,0,0
33,33,24,Other,4961.273666193178,4,498,23,1,52884.756635372236,0,0,1
34,34,38,Male,49954.542332371544,1,740,7,1,48836.6570210937,1,1,0
35,35,56,Male,25225.941048757104,3,444,5,1,59592.91064159258,0,0,1
36,36,35,Male,91106.55292738706,3,358,22,0,37918.519209418926,1,1,1
37,37,21,Female,39849.249427308685,2,442,3,0,104563.07371688003,0,1,0
38,38,77,Other,63387.24460520792,3,522,4,0,45001.75004756717,1,0,0
39,39,31,Male,86028.7264814549,2,399,5,1,59440.30469053556,1,1,0
40,40,26,Male,98369.18584171766,3,325,14,0,45195.95939275644,1,1,0
41,41,70,Other,50381.9370328546,3,731,5,1,23081.315738669302,0,1,0
42,42,19,Other,45575.77028614559,2,825,18,0,76731.21287490109,1,0,0
43,43,77,Other,7573.964529645871,1,421,24,0,74637.15911339191,1,0,0
44,44,88,Female,1273.8943337215037,4,764,19,1,42439.01577430544,1,0,0
45,45,61,Other,60880.20924984961,2,564,7,0,13453.798594440843,0,0,0
46,46,25,Female,6546.435214764601,1,306,12,1,113042.13168073706,0,1,0
47,47,64,Male,38037.89370384732,1,519,3,0,49110.19631690283,1,1,0
48,48,52,Female,360.6436106461497,2,695,21,1,69263.02192047556,1,0,0
49,49,53,Other,61522.749896567075,4,756,16,1,25812.360364320302,1,1,0
50,50,67,Female,42541.51604404962,2,407,13,1,37628.48797236499,0,1,0
51,51,21,Other,12702.076978628784,3,791,17,1,57877.80505899424,1,1,1
52,52,19,Female,29636.760684082208,3,759,14,0,71846.88215376236,1,0,0
53,53,23,Male,56966.06989719245,1,308,21,1,103941.55844068415,0,1,0
54,54,71,Female,65671.3368009977,3,666,18,0,41945.45865180463,0,0,1
55,55,21,Male,46233.58796634468,4,424,10,0,105895.88472020827,1,0,0
56,56,71,Other,80395.91160909459,2,461,6,0,60428.82606323353,1,1,0
57,57,80,Male,11244.04117029857,4,335,0,1,57594.45551138716,0,1,0
58,58,35,Other,8454.572261240779,1,303,29,1,53605.63581176772,1,1,0
