,store_id,product_id,day_of_week,season,quantity_sold,stock_before_order,stock_after_order,order_amount,lead_time_days,supplier_id,delivery_time_expected,delivery_time_actual,transport_mode,order_cost,sell_price_per_unit,discount_offered
0,52,1165,Sunday,Spring,52,172,119,66,7,616,1,13,Ship,908.5635125577834,99.55251033097697,0.17283443517589356
1,93,2573,Monday,Summer,48,166,108,30,8,519,2,6,Ship,296.6133950488318,10.096145621464437,0.12917099904478904
2,15,4252,Monday,Fall,39,169,123,86,11,623,6,5,Rail,419.66406604284606,50.815954389948224,0.2532859428945102
3,72,3908,Thursday,Fall,34,138,18,32,6,611,14,2,Ship,424.5470539459563,37.62289028683654,0.019346816299267686
4,61,1616,Tuesday,Summer,49,165,36,33,1,702,14,8,Truck,571.9268567252959,48.51435634424932,0.06876958677903434
5,21,3659,Thursday,Summer,39,56,100,40,6,621,2,10,Ship,876.7047390169307,94.43442087230652,0.21094055924199737
6,83,2625,Saturday,Summer,57,122,192,15,8,647,12,10,Ship,455.9734677664128,82.7676335965277,0.24579980901372228
7,87,4998,Friday,Summer,55,139,84,70,5,596,10,10,Air,232.12729841195323,28.148968189105155,0.2911980551828981
8,75,4883,Tuesday,Winter,53,169,38,80,8,637,10,11,Rail,555.8986020304118,73.3818639426332,0.08882969218216435
9,75,4515,Friday,Fall,62,190,153,85,12,561,8,11,Truck,133.90143391334843,62.16705210284687,0.06609928782600168
10,88,4403,Wednesday,Summer,55,136,41,98,1,563,6,8,Truck,410.0111074899617,46.72857313283522,0.07751920218097465
11,100,1502,Saturday,Summer,57,149,189,38,12,716,2,14,Air,562.8089866904797,40.77649894425645,0.07479893948736338
12,24,1912,Tuesday,Winter,44,165,52,99,4,701,10,2,Truck,565.913529502177,63.85713802062309,0.14301807602977828
13,3,3126,Thursday,Fall,55,56,194,97,12,523,6,2,Truck,837.5674595346333,52.213715542544136,0.08511915052161528
14,22,1584,Thursday,Spring,46,66,49,8,9,796,14,10,Truck,821.0078939432773,59.47565801598624,0.04176932254710301
15,53,2958,Tuesday,Fall,51,29,104,76,10,916,2,14,Ship,354.3695301202073,79.56745492936362,0.01610143039930226
16,2,3735,Sunday,Spring,50,120,196,39,5,917,1,13,Ship,370.9403460984276,97.03105467330593,0.07674874057885117
17,88,1395,Thursday,Winter,59,153,106,60,13,942,5,7,Ship,983.4982333696009,46.976486963145156,0.24525422778719305
18,30,2631,Sunday,Summer,62,199,156,60,10,706,5,3,Air,452.336975003055,48.3871186211865,0.25335974386469046
19,38,2880,Tuesday,Winter,55,53,129,56,12,987,8,9,Air,228.5419457764932,85.65948369199324,0.17731302987008252
20,2,4174,Monday,Fall,54,31,17,18,10,843,4,11,Ship,691.2448381066224,21.685281122896306,0.11871412848379294
21,64,1401,Thursday,Summer,47,21,59,48,14,834,2,6,Rail,319.1635251384969,82.07535650481253,0.07993442848782008
22,60,1974,Sunday,Fall,47,135,115,21,3,740,7,3,Ship,643.0475637974093,45.205697473312696,0.011831681587041643
23,21,1223,Tuesday,Spring,53,108,141,56,3,637,3,6,Rail,839.151533572165,47.36306401784193,0.2971134364523396
24,33,1517,Tuesday,Fall,57,65,117,91,9,760,13,8,Truck,256.29344781245663,36.694193329594526,0.11451435623080619
25,76,3681,Sunday,Winter,49,13,167,12,1,969,14,7,Rail,506.4706303043026,21.044833018431774,0.11187658635306001
26,58,1235,Thursday,Winter,56,132,191,6,11,664,3,13,Air,444.65410291100613,77.07526024645232,0.1192314274866512
27,22,4498,Monday,Winter,49,12,29,31,6,873,8,7,Air,999.4483477537386,90.89361917785307,0.23304537181991306
28,89,1115,Thursday,Summer,46,86,28,98,6,786,12,14,Truck,740.4691714925974,55.18805360281538,0.19751499617527446
29,49,4234,Tuesday,Fall,37,123,156,71,10,650,3,5,Air,174.13175314304328,27.260352030670997,0.2829742294300768
30,91,1225,Monday,Summer,55,76,18,61,8,754,2,10,Rail,305.7366604464021,37.911534014978116,0.022370239795301082
31,59,3277,Friday,Fall,38,82,89,95,14,510,10,4,Ship,241.5340256953843,17.594775231937604,0.288260011180615
32,42,1181,Wednesday,Spring,47,23,109,68,8,573,9,11,Ship,113.70225290291525,84.7500988713435,0.176852415649037
33,92,4320,Thursday,Fall,58,34,57,57,1,873,8,12,Air,384.26634384261047,56.864376641017735,0.2788300426015937
34,60,2341,Saturday,Fall,46,67,115,61,7,982,2,8,Air,392.0114279854971,98.08183588429661,0.229184141363572
35,80,1209,Tuesday,Fall,61,153,39,17,10,649,8,9,Rail,311.4940665654352,79.51552665264649,0.29589814318171953
36,15,4727,Monday,Fall,45,73,8,29,1,732,5,2,Ship,597.7919592361116,75.35616193945516,0.06389681876168885
37,62,2415,Sunday,Spring,49,165,120,67,8,883,10,11,Rail,296.6050829967549,49.41980429335096,0.15620223600361255
38,62,4928,Sunday,Summer,53,33,109,59,5,873,10,5,Air,946.9589535705,41.38961166812679,0.28158720236885804
39,47,3143,Sunday,Winter,52,33,107,88,2,969,11,7,Air,759.2159844410409,34.835395647149596,0.041253000172259975
40,62,1893,Monday,Fall,56,18,158,3,3,792,4,5,Truck,209.26059342814239,98.96702686682288,0.23400935085785424
41,51,2881,Friday,Winter,62,2,77,27,11,526,10,8,Air,341.97496538093367,30.767722705905538,0.2741867892185646
42,55,3803,Thursday,Winter,42,115,94,1,14,500,5,8,Ship,984.1942310592898,23.206532883281348,0.11248147397043841
43,64,2109,Saturday,Winter,59,35,142,79,9,946,12,12,Air,280.1666504197776,52.382814362920044,0.13291867226970344
44,3,3462,Sunday,Winter,61,3,33,78,2,632,10,5,Rail,205.26147131129915,56.61786354404151,0.24961627747538634
45,51,3026,Monday,Fall,52,121,61,4,4,510,12,8,Air,309.08587001274054,25.96729215538416,0.1699238471383127
46,7,1393,Sunday,Winter,47,153,73,4,7,724,5,12,Ship,742.4707163757716,41.47472268013822,0.1435520011527421
47,21,3743,Friday,Fall,52,130,56,89,8,835,11,2,Ship,566.0855788154295,36.330635830840336,0.08222058437724919
48,73,4704,Tuesday,Spring,49,127,148,75,11,923,11,12,Air,160.80814225865703,76.73269564423381,0.16083493812788596
49,39,1843,Sunday,Summer,43,176,102,33,3,977,1,11,Rail,425.6066338130829,53.94800271648535,0.11276237222176146
50,18,2524,Friday,Summer,55,8,53,11,10,527,5,5,Rail,177.95846303953334,79.95561932429247,0.14133788045960022
51,4,1603,Thursday,Fall,50,45,164,76,10,784,7,5,Air,361.6144286636524,18.279350165332403,0.2550350493251137
52,89,1581,Sunday,Fall,46,193,167,79,9,643,8,11,Air,253.86611452321512,38.44622618951306,0.2536740489766569
53,60,3042,Friday,Summer,45,13,19,57,8,884,8,9,Rail,298.51695059916045,36.84631025869805,0.006298703276738071
54,14,2939,Monday,Winter,44,2,108,26,6,818,14,10,Rail,800.3464572352901,51.25375794646217,0.1637572302501518
55,9,1132,Monday,Fall,47,1,198,88,14,955,2,12,Rail,805.1476354842475,46.270226715874855,0.28521935755217387
56,90,3838,Wednesday,Winter,55,85,145,26,12,503,14,2,Air,759.1744564165556,33.49395210657577,0.13380935436127225
57,53,3696,Friday,Fall,43,160,171,54,8,550,14,3,Air,719.4240145788542,83.61056707361136,0.03312254605219132
58,2,4385,Tuesday,Fall,74,99,183,27,11,599,10,10,Air,320.6486603932367,91.60417198730147,0.0033841808026993992
